Filename,Title,Source,SHA-1,Date,Year
Inside_Report_by_Infosec_Consortium,Inside Report _ Apt Attacks On Indian Cyber Space,Infosec Consortium,886b0ab831a5084de7d80355b7578a9a9999fc88,08/01/2013,2013
Surtr_Malware_Tibetan,Surtr: Malware Family Targeting The Tibetan Community,Citizen Lab,6b624d6d80b412a10260344f244ed93e3718e003,08/02/2013,2013
India_Pak_Tranchulas,"Where There Is Smoke, There Is Fire: South Asian Cyber Espionage Heats Up",ThreatConnect,665c6ace0a9175735f6cdb656e79287f5a53e072,08/02/2013,2013
fireeye-china-chopper-report,The Little Malware That Could: Detecting And Defeating The China Chopper Web Shell,FireEye,8a3a657ac02569c1324ade4cca562ae8c5781f94,08/07/2013,2013
NYTimes_Attackers_Evolve_Quickly,Survival Of The Fittest: New York Times Attackers Evolve Quickly,FireEye,5f17e7b886d2388ffc134157dd1b66aa65372b59,08/12/2013,2013
ByeBye_Shell_target,Byebye Shell And The Targeting Of Pakistan,Rapid7,4b6cc1420b5d641564c9895882a5ba97d18137be,08/19/2013,2013
fireeye-poison-ivy-report,Poison Ivy:  Assessing Damage And Extracting Intelligence,FireEye,5276375276d632b9a43037ef9a99221b81cb1a61,08/21/2013,2013
Operation_Molerats,Operation Molerats,FireEye,3b74caac2fb42068781f9812b5080a6975ce3d24,08/23/2013,2013
Operation_EphemeralHydra,Operation Ephemeral Hydra: Ie Zero-Day Linked To Deputydog Uses Diskless Method,FireEye,1bf6c5eaaf996f463b25837c15b400c895862419,09/10/2013,2013
Kimsuky,"The ""Kimsuky"" Operation: A North Korean Apt?",Kaspersky,64f98d4c515e31f68c6e7fdf442753a6af8c0bee,09/11/2013,2013
Operation_DeputyDog,Operation Deputydog: Zero-Day (Cve-2013-3893) Attack Against Japanese Targets,FireEye,21a5b79498a242f6869649cb808d02366dba6e89,09/13/2013,2013
hidden_lynx,Hidden Lynx: Professional Hackers For Hire,Symantec,e4aa40ce1a865021e0b178a4c444126743335d32,09/17/2013,2013
2q-report-on-targeted-attack-campaigns,2Q Report On Targeted Attack Campaigns,Trend Micro,f69e4d23674d06ee459d2abbecc5f3f4cbd58047,09/19/2013,2013
fireeye-wwc-report,World War C: Understanding Nation-State Motives Behind Today's Advanced Cyber Attacks,FireEye,5ff5d49650b4fa5988f435f60434744a7bcaee48,09/30/2013,2013
wp-fakem-rat,Fakem Rat: Malware Disguised As Windows Messenger And Yahoo! Messenger,Trend Micro,a899d6713da1b9da8aa77cb3db5360b4e8574b5c,10/24/2013,2013
FireEye-Terminator_RAT,Evasive Tactics: Terminator Rat,FireEye,9a4dcfa7178cccc6283a92bc768be1374eb347f9,10/24/2013,2013
